,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,NAME,GEO_ID,DP03_0002E,DP03_0003E,DP03_0001E,DP03_0008E,DP03_0009E,DP03_0006E,DP03_0007E,DP03_0004E,DP03_0005E,DP03_0014E,DP03_0015E,DP03_0012E,DP03_0013E,DP03_0010E,DP03_0011E,DP03_0016E,DP03_0017E,state,place
1,"Flagstaff city, Arizona",1600000US0423620,41541,41541,63114,41541,-888888888.0,0,21573,38936,2605,3820,2219,20662,18894,31848,20662,8189,6407,04,23620
2,"Gilbert town, Arizona",1600000US0427400,128105,127993,181453,127993,-888888888.0,112,53348,123441,4552,20893,11870,60663,58041,94266,60663,53236,36408,04,27400
3,"San Tan Valley CDP, Arizona",1600000US0464210,47745,47745,75800,47745,-888888888.0,0,28055,45260,2485,9723,4922,22065,20922,38874,22065,21892,15151,04,64210
4,"Fort Smith city, Arkansas",1600000US0524550,42114,42088,68890,42088,-888888888.0,26,26776,40665,1423,6863,5321,20677,19934,36138,20677,13506,7906,05,24550
5,"Jonesboro city, Arkansas",1600000US0535710,37789,37789,58470,37789,-888888888.0,0,20681,35238,2551,5818,4581,18517,17297,30727,18517,13160,9569,05,35710
6,"Citrus Heights city, California",1600000US0613588,48294,48254,71704,48254,-888888888.0,40,23410,45400,2854,5971,3516,23719,21840,38602,23719,11358,8034,06,13588
7,"Fairfield city, California",1600000US0623182,60923,59419,90122,59419,-888888888.0,1504,29199,57169,2250,11832,7043,26784,25376,44906,27094,16536,11224,06,23182
8,"Folsom city, California",1600000US0624638,35666,35666,60326,35666,-888888888.0,0,24660,34264,1402,5332,3495,16327,16002,28961,16327,15511,10641,06,24638
9,"Fontana city, California",1600000US0624680,109217,108957,162367,108957,-888888888.0,260,53150,102898,6059,14507,8253,48374,45159,82816,48524,38748,24740,06,24680
10,"Fresno city, California",1600000US0627000,241144,240938,397408,240938,-888888888.0,206,156264,219244,21694,49171,31287,112449,102338,204756,112527,92756,60618,06,27000
11,"Hemet city, California",1600000US0633182,32307,32307,67095,32307,-888888888.0,0,34788,29247,3060,5432,2683,15874,14851,37009,15874,14934,7978,06,33182
12,"Lodi city, California",1600000US0642202,32278,32161,50204,32161,-888888888.0,117,17926,29514,2647,5908,3000,14134,12835,26037,14134,12037,8930,06,42202
13,"Modesto city, California",1600000US0648354,99541,99474,161763,99474,-888888888.0,67,62222,92257,7217,17848,10977,45175,42045,83933,45175,38689,25096,06,48354
14,"Mountain View city, California",1600000US0649670,50151,50151,67263,50151,-888888888.0,0,17112,48775,1376,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,06,49670
15,"Norwalk city, California",1600000US0652526,50449,50189,82830,50189,-888888888.0,260,32381,47350,2839,8986,6203,23324,21685,41953,23324,14632,11569,06,52526
16,"Oakland city, California",1600000US0653000,249254,248996,355658,248996,-888888888.0,258,106404,235825,13171,29221,18321,123265,115813,187647,123265,48415,34126,06,53000
17,"Oxnard city, California",1600000US0654652,109248,108606,160744,108606,-888888888.0,642,51496,104190,4416,14933,10137,46384,44556,77203,46698,35321,22745,06,54652
18,"Redding city, California",1600000US0659920,41370,41370,74346,41370,-888888888.0,0,32976,37883,3487,5312,2877,20426,19013,39058,20426,12361,9248,06,59920
19,"Santa Clara city, California",1600000US0669084,72120,72120,106403,72120,-888888888.0,0,34283,69561,2559,9705,5958,29056,27328,49774,29056,15166,11542,06,69084
20,"Simi Valley city, California",1600000US0672016,68945,68945,103214,68945,-888888888.0,0,34269,66316,2629,9000,6577,33101,31573,53514,33101,16271,10869,06,72016
21,"South San Francisco city, California",1600000US0673262,37654,37654,57634,37654,-888888888.0,0,19980,37022,632,4098,2567,-999999999,-999999999,-999999999,-999999999,7745,5810,06,73262
22,"South Whittier CDP, California",1600000US0673430,32249,32104,50755,32104,-888888888.0,145,18506,30839,1265,4937,3956,13804,13291,25319,13804,10262,8281,06,73430
23,"Sunnyvale city, California",1600000US0677000,91494,91426,124878,91426,-888888888.0,68,33384,87937,3489,12399,7508,38553,36868,59493,38553,17824,13330,06,77000
24,"Torrance city, California",1600000US0680000,75164,75115,118686,75115,-888888888.0,49,43522,72765,2350,-999999999,-999999999,36416,35362,62631,36416,-999999999,-999999999,06,80000
25,"Westminster city, California",1600000US0684550,42276,42276,73177,42276,-888888888.0,0,30901,40373,1903,5350,3589,19570,19052,38101,19570,14142,8375,06,84550
26,"Yorba Linda city, California",1600000US0686832,32911,32863,53192,32863,-888888888.0,48,20281,31956,907,5519,4065,15161,14581,27544,15161,10466,6689,06,86832
27,"Denver city, Colorado",1600000US0820000,434935,434012,590285,434012,-888888888.0,923,155350,418381,15631,49339,34806,200456,193297,295425,200679,84184,59495,08,20000
28,"Longmont city, Colorado",1600000US0845970,51741,51741,77375,51741,-888888888.0,0,25634,49732,2009,-999999999,-999999999,23269,22676,38573,23269,-999999999,-999999999,08,45970
29,"Thornton city, Colorado",1600000US0877290,76274,76236,103972,76236,-888888888.0,38,27698,73843,2393,13567,9643,35358,33956,53137,35358,26961,18969,08,77290
30,"Bridgeport city, Connecticut",1600000US0908000,78269,78243,115361,78243,-888888888.0,26,37092,69038,9205,9799,7107,39710,34675,60749,39736,23079,18874,09,08000
31,"Coral Springs city, Florida",1600000US1214400,71874,71874,103505,71874,-888888888.0,0,31631,67683,4191,10381,7182,33321,32064,52340,33321,22483,15435,12,14400
32,"Davie town, Florida",1600000US1216475,61102,61044,87160,61044,-888888888.0,58,26058,59657,1387,8468,6001,28423,28207,44685,28423,12565,8125,12,16475
33,"Fort Lauderdale city, Florida",1600000US1224000,98693,98598,158415,98598,-888888888.0,95,59722,91333,7265,7169,5455,47119,43273,76715,47119,19929,15918,12,24000
34,"Fort Myers city, Florida",1600000US1224125,34358,34358,67088,34358,-888888888.0,0,32730,32725,1633,6031,4626,15489,14722,34736,15489,10114,7172,12,24125
35,"Pompano Beach city, Florida",1600000US1258050,56277,56277,95067,56277,-888888888.0,0,38790,53390,2887,5891,4282,25215,23559,45218,25215,11772,8731,12,58050
36,"Port St. Lucie city, Florida",1600000US1258715,91688,91688,158967,91688,-888888888.0,0,67279,86971,4717,12747,10302,45220,43160,83047,45220,27758,19928,12,58715
37,"Atlanta city, Georgia",1600000US1304000,272562,272303,414891,272303,-888888888.0,259,142329,256891,15412,36738,25359,134083,126158,212771,134200,48515,35744,13,04000
38,"Sandy Springs city, Georgia",1600000US1368516,64926,64926,90008,64926,-888888888.0,0,25082,63542,1384,7121,4068,28658,27714,46152,28658,14249,11019,13,68516
39,"South Fulton city, Georgia",1600000US1372122,55029,54959,82353,54959,-888888888.0,70,27324,51649,3310,4434,2499,30829,29413,45833,30829,12262,7966,13,72122
40,"Warner Robins city, Georgia",1600000US1380508,40950,39962,60629,39962,-888888888.0,988,19679,37229,2733,5086,4519,-999999999,-999999999,-999999999,-999999999,11800,8746,13,80508
41,"Boise City city, Idaho",1600000US1608830,125754,125154,188722,125154,-888888888.0,600,62968,120973,4181,12834,9145,60105,58288,94582,60138,28750,20890,16,08830
42,"Decatur city, Illinois",1600000US1718823,34750,34750,58328,34750,-888888888.0,0,23578,32094,2656,5326,4029,17324,16275,31578,17324,8153,6802,17,18823
43,"Joliet city, Illinois",1600000US1738570,81306,81257,111685,81257,-888888888.0,49,30379,75999,5258,10650,7448,37491,34771,55572,37491,27334,21189,17,38570
44,"Skokie village, Illinois",1600000US1770122,30501,30501,50336,30501,-888888888.0,0,19835,29011,1490,3702,3165,14231,13503,25514,14231,10828,7136,17,70122
45,"Springfield city, Illinois",1600000US1772000,58954,58860,92856,58860,-888888888.0,94,33902,54462,4398,7261,5641,29568,27953,48815,29568,15381,12597,17,72000
