,Unnamed: 0,0,NAME,GEO_ID,DP03_0068E,DP03_0069E,DP03_0066E,DP03_0067E,DP03_0064E,DP03_0065E,DP03_0062E,DP03_0063E,DP03_0060E,DP03_0061E,DP03_0070E,DP03_0071E,DP03_0078E,DP03_0079E,DP03_0076E,DP03_0077E,DP03_0074E,DP03_0075E,DP03_0072E,DP03_0073E,DP03_0082E,DP03_0083E,DP03_0080E,DP03_0081E,DP03_0088E,DP03_0089E,DP03_0086E,DP03_0087E,DP03_0084E,DP03_0085E,DP03_0094E,DP03_0092E,DP03_0093E,DP03_0090E,DP03_0091E,DP03_0058E,DP03_0059E,DP03_0056E,DP03_0057E,DP03_0054E,DP03_0055E,DP03_0052E,DP03_0053E,DP03_0051E,state,place,CITY,STATE
0,1,1,"Flagstaff city, Arizona",1600000US0423620,3276,38228,4724,22123,21587,74232,58808,81044,1763,1515,527,6366,456,1038,517,223,1729,13387,110,-999999999,1737,2842,1446,2593,28105,11182,81458,104634,1204,1331,40851,20683,44961,37904,49144,2541,3755,3427,4624,2494,1575,2063,812,24569,4,23620,Flagstaff, Arizona
1,2,2,"Gilbert town, Arizona",1600000US0427400,12521,28587,17979,22959,69218,115612,99866,117474,9642,9485,1696,10347,1837,2407,1003,284,2141,64173,1017,2810,11116,17552,3024,9907,38154,14382,107227,124813,8331,8712,50287,45431,76385,55591,71805,13180,20085,4961,12327,2754,3192,2005,924,78555,4,27400,Gilbert, Arizona
2,3,3,"San Tan Valley CDP, Arizona",1600000US0464210,6303,32607,8569,22021,26304,77745,70339,79423,1798,1011,1070,9962,825,1863,1268,82,2156,27542,297,-999999999,5863,4721,2723,7621,25232,5066,71363,81463,1565,1011,39484,35270,52169,55048,57803,6464,5822,3246,8844,1922,1902,1331,268,32608,4,64210,San Tan Valley, Arizona
3,4,4,"Fort Smith city, Arkansas",1600000US0524550,6364,19062,10113,19234,27759,65380,45496,65460,1086,1234,2590,8871,2475,2913,1484,428,4999,22683,534,-999999999,2077,3416,3935,4133,27006,12759,50239,76247,810,1012,34750,28030,41104,27622,42646,3557,4000,5947,5485,3735,4875,2798,2725,35442,5,24550,Fort Smith, Arkansas
4,5,5,"Jonesboro city, Arkansas",1600000US0535710,3842,26589,8659,18095,23795,62044,45057,61985,560,1002,2427,10491,2634,1028,1052,716,3709,17692,386,4345,2764,2426,1865,3843,24228,11800,56560,76801,517,847,35843,28101,45582,28975,36211,3855,2367,4122,5924,4571,2590,3248,1253,29492,5,35710,Jonesboro, Arkansas
5,6,6,"Citrus Heights city, California",1600000US0613588,6704,32285,10866,17469,25935,79965,65910,79136,2180,1342,1597,10598,1446,1092,668,549,4150,20106,1401,3015,3755,3728,2050,3852,31228,13284,76626,86778,2069,897,49339,35025,48358,45569,63073,5993,5072,4025,6065,4060,1851,1513,1289,33390,6,13588,Citrus Heights, California
6,7,7,"Fairfield city, California",1600000US0623182,9135,36697,10857,17821,32649,98597,81652,100201,3577,3925,1719,10306,1350,634,447,634,3253,28623,760,5036,5050,6123,3289,4853,33959,10341,86757,106939,3124,3119,50884,41219,58206,61000,63610,6027,7806,4374,7440,2256,1592,1189,778,38964,6,23182,Fairfield, California
7,8,8,"Folsom city, California",1600000US0624638,6143,33427,6573,21695,22095,129322,110469,125772,4844,4461,951,9063,523,592,472,155,1117,19269,746,7227,1940,4873,1088,1594,43305,7576,132903,143399,3947,4085,75137,61961,101902,58182,77243,2912,5514,2268,2985,1208,943,1044,666,26845,6,24638,Folsom, California
8,9,9,"Fontana city, California",1600000US0624680,6397,25706,11428,16673,48467,93936,74238,92148,3882,5153,2659,10563,2946,3496,1650,535,5414,46811,1187,6644,6998,9685,5295,8316,25023,7977,78219,94986,3530,4360,37169,31883,47976,37047,55116,8064,10087,6162,10453,3596,3741,2161,1489,54788,6,24680,Fontana, California
9,10,10,"Fresno city, California",1600000US0627000,24459,27885,41188,16784,133477,70049,49813,67939,8339,6593,16130,9838,11961,9209,8850,4631,36136,114420,15744,3915,14610,15967,16023,20258,23222,56789,56951,77346,6814,6097,40232,29200,42331,30116,43460,21112,20621,22286,28764,22268,15164,14886,11176,171209,6,27000,Fresno, California
10,11,11,"Hemet city, California",1600000US0633182,6720,26793,14781,18311,16853,59994,39305,54516,1186,164,2934,9422,1908,1917,1000,942,5132,18490,1362,5525,2067,2157,3176,4081,19935,10054,52977,63832,1125,117,32344,25579,55797,25896,34402,2325,2680,3949,5539,4415,4219,2183,1884,28544,6,33182,Hemet, California
11,12,12,"Lodi city, California",1600000US0642202,4734,37046,8020,18475,18626,72787,59824,74566,1810,927,972,10847,1412,1592,805,515,2479,16139,355,1187,1698,3080,2519,2295,27525,7812,63671,81042,1493,730,41190,31737,48313,36409,52668,2692,3783,3250,3939,2430,2881,984,1255,23951,6,42202,Lodi, California
12,13,13,"Modesto city, California",1600000US0648354,11292,23993,20589,19436,56594,82930,59312,80087,4241,3484,4849,9772,3052,3625,2556,1476,11299,49162,3207,5530,6022,8765,6764,10401,27443,21594,67114,87885,3435,3066,45456,35445,51143,41019,54797,7778,11907,10621,14347,5678,5568,3671,3461,70756,6,48354,Modesto, California
13,14,14,"Mountain View city, California",1600000US0649670,3147,28916,5857,22127,29539,213541,150405,208735,4830,11920,1010,6150,446,1195,496,145,688,20698,75,-999999999,1732,2513,1162,1296,85826,12702,164909,247051,2994,8719,95397,90974,128805,101621,140260,3063,4539,2490,2175,1167,1594,1155,467,33400,6,49670,Mountain View, California
14,15,15,"Norwalk city, California",1600000US0652526,3023,26810,7685,16847,22182,84675,69156,81290,1485,992,2984,10662,1744,1739,419,334,2856,21773,786,4046,4111,4958,1873,4484,22708,5069,76442,84918,1217,894,38279,32190,42658,25166,43288,4525,5618,2318,5631,2137,1624,1382,1130,26842,6,52526,Norwalk, California
15,16,16,"Oakland city, California",1600000US0653000,22577,33975,36031,17171,135487,119995,76469,114714,15892,25415,11142,10314,6298,5481,3956,2171,15269,86212,6968,4310,9459,12176,8627,12452,46921,79378,83718,130748,9028,16564,61799,47378,65225,62192,92360,17119,25797,15923,23655,13159,9798,10361,8471,165590,6,53000,Oakland, California
16,17,17,"Oxnard city, California",1600000US0654652,7412,28846,14848,17357,45257,86510,75836,89051,4099,3340,2192,10598,2177,4035,1623,683,7287,42421,1357,3364,7803,8238,5675,6482,23833,9462,76579,88913,3027,2678,37789,29704,38931,43962,65843,9067,9803,7151,7614,3463,4257,1883,1206,51883,6,54652,Oxnard, California
17,18,18,"Redding city, California",1600000US0659920,7061,28360,13720,19506,25557,71021,56704,73068,1484,1709,3354,10896,1845,1338,996,601,4661,23308,1418,3977,3722,4318,3366,4479,29151,12168,70306,83358,1345,1298,48175,29562,58240,29305,43184,4137,6517,4364,5992,3276,3097,2685,2215,35476,6,59920,Redding, California
18,19,19,"Santa Clara city, California",1600000US0669084,5402,32234,9696,19982,39337,150706,127245,146115,7891,10968,2335,12667,1321,524,704,217,1720,29783,584,-999999999,3191,5943,1726,2081,52304,15390,144148,163478,5366,8710,68475,53746,106938,80826,107313,4495,8220,2930,3683,2609,1789,1337,1251,45173,6,69084,Santa Clara, California
19,20,20,"Simi Valley city, California",1600000US0672016,9258,30804,15141,20161,35086,117234,92260,119287,5871,5838,1911,9467,880,796,492,271,1929,30605,674,4069,3985,7284,2161,4056,42065,12464,115151,140982,5169,5511,53932,42184,71198,44031,57998,5247,8522,4608,6610,2196,2463,1161,553,43069,6,72016,Simi Valley, California
20,21,21,"South San Francisco city, California",1600000US0673262,5845,29344,8606,19372,16671,139704,102365,137442,2406,4489,1045,12095,456,204,289,156,620,15646,310,-999999999,3180,3322,595,1705,45783,5128,115352,155232,1571,4168,55105,45727,62370,56725,71527,3304,3808,1052,2941,966,750,506,552,20774,6,73262,South San Francisco, California
21,22,22,"South Whittier CDP, California",1600000US0673430,1714,27254,3967,19491,13233,101696,87822,95537,1910,838,893,8936,425,413,378,277,907,13206,723,5124,2273,3750,1264,2041,24939,2577,95166,102145,1547,838,37253,36417,50051,47198,50505,2275,3922,1607,2730,851,641,683,326,15783,6,73430,South Whittier, California
22,23,23,"Sunnyvale city, California",1600000US0677000,6431,37198,10586,22017,49927,202402,150450,197423,7531,20872,1818,10829,498,601,274,590,704,37836,546,3825,3228,5585,1703,3596,74610,18701,164833,216989,6175,15586,85393,81003,111964,106960,153882,4279,9667,3063,6028,1966,1567,817,747,56537,6,77000,Sunnyvale, California
23,24,24,"Torrance city, California",1600000US0680000,12576,36646,16539,21495,43575,116606,96492,115384,5962,7908,2318,9457,1441,976,578,245,1740,37638,671,3045,5418,9699,3186,4112,44848,17353,112250,131871,5224,6759,69715,52190,81968,56214,77017,7964,12310,5004,7091,3402,2608,1941,801,54991,6,80000,Torrance, California
24,25,25,"Westminster city, California",1600000US0684550,4209,38729,8204,18546,21343,93517,62618,91621,1958,2922,2227,9136,2180,1714,1559,351,2438,21455,969,3109,2721,3420,2334,3254,29348,5564,67228,94533,1630,2292,50767,34371,52741,38158,68560,2700,4079,3351,3774,2838,2217,2149,1031,27019,6,84550,Westminster, California
25,26,26,"Yorba Linda city, California",1600000US0686832,5586,39579,7912,21674,18071,154485,125819,151274,4732,4900,740,8382,305,597,602,301,347,18306,361,1781,1929,3650,754,1555,53195,4911,147275,169981,3837,4776,62414,56863,109107,53303,71047,2502,4131,1790,2201,911,856,670,524,23217,6,86832,Yorba Linda, California
26,27,27,"Denver city, Colorado",1600000US0820000,34761,29786,60737,18336,261898,101501,68377,99728,25726,31379,11251,9240,7360,10112,4786,2750,24820,145101,6891,2651,18068,27298,12743,23461,44556,165223,90020,127709,15213,23310,51551,42409,56503,54571,73208,35794,49283,33907,55438,22831,25593,18752,11621,310324,8,20000,Denver, Colorado
