,STATE,zipcode,N1,N02650,A02650,avg_income
0,AK,31685718,271430.0,271430.0,19818590.0,73.01547360277051
1,AL,123817728,2004610.0,2004610.0,118276684.0,59.002341602605995
2,AR,211956168,1184370.0,1184370.0,73192495.0,61.79867355640552
3,AZ,150362748,2826980.0,2826980.0,193296683.0,68.37568111553672
4,CA,828223513,17450170.0,17450150.0,1530929757.0,87.73150960706973
5,CO,189895956,2599210.0,2599210.0,210562608.0,81.0102331092909
6,CT,10091208,1735330.0,1735330.0,177722310.0,102.41412872479586
7,DC,2641872,342150.0,342150.0,35312959.0,103.20899897705685
8,DE,6560856,455480.0,455480.0,31605759.0,69.39000395187495
9,FL,183358536,9811550.0,9811550.0,734126719.0,74.82270579062431
10,GA,124514106,4424650.0,4424650.0,302257543.0,68.31219260280474
11,HI,33673686,639380.0,639380.0,44218761.0,69.15881166129688
12,IA,253608846,1424600.0,1424590.0,94240431.0,66.1522048294258
13,ID,107264496,734840.0,734840.0,45700596.0,62.19121985738392
14,IL,453972588,6025720.0,6025700.0,465382815.0,77.2327315241996
15,IN,189385974,3077720.0,3077720.0,187950765.0,61.06818196587084
16,KS,237900408,1302340.0,1302350.0,86959733.0,66.77191286453615
17,KY,161787744,1871470.0,1871440.0,108524207.0,57.98875055437704
18,LA,190270584,1896810.0,1896810.0,115449434.0,60.86504921420701
19,MA,5410398,3382130.0,3382130.0,330702730.0,97.77942598303436
20,MD,51411216,2936050.0,2936050.0,238424922.0,81.20601556513002
21,ME,9926496,638510.0,638510.0,38780370.0,60.73572849289753
22,MI,261061770,4661520.0,4661500.0,303384629.0,65.08276892515745
23,MN,264721128,2729150.0,2729150.0,209166482.0,76.64162175036184
24,MO,343538825,2753080.0,2753060.0,174780218.0,63.48533932904238
25,MS,86410260,1192750.0,1192750.0,60928385.0,51.082276252358
26,MT,79174463,467720.0,467720.0,28750025.0,61.46845334815702
27,NC,121734030,4448760.0,4448750.0,287979739.0,64.73258593405804
28,ND,98120612,346320.0,346320.0,24726357.0,71.39742723492724
29,NE,199740822,883380.0,883380.0,59057799.0,66.85435373225566
30,NH,4790196,690050.0,690050.0,54530805.0,79.02442576624883
31,NJ,25879602,4365100.0,4365100.0,399482087.0,91.51728184921308
32,NM,108609860,832550.0,832550.0,45877956.0,55.105346225451925
33,NV,67487118,1352080.0,1352080.0,93309540.0,69.0118484113366
34,NY,117168030,9495410.0,9495410.0,847673080.0,89.27187767563485
35,OH,265718938,5531360.0,5531340.0,345935255.0,62.54072325793295
36,OK,241778292,1564460.0,1564490.0,97028204.0,62.02025235544533
37,OR,205612925,1845480.0,1845480.0,130079829.0,70.48563463164055
38,PA,140940142,6088170.0,6088160.0,429668609.0,70.57434483596877
39,RI,1186428,526850.0,526850.0,36533203.0,69.34270285660055
40,SC,65789250,2162020.0,2162020.0,131936192.0,61.02450116095133
41,SD,99132810,404060.0,404060.0,26623474.0,65.88990248972925
42,TN,133273752,2967620.0,2967620.0,186053220.0,62.694421792547566
43,TX,750756168,12089070.0,12089070.0,895145443.0,74.04584827451573
44,UT,94593558,1242160.0,1242160.0,88300545.0,71.0862892058994
45,VA,110919648,3878220.0,3878220.0,312592116.0,80.60195553630274
46,VT,7733478,313140.0,313140.0,20053827.0,64.04109024717378
47,WA,292256952,3463330.0,3463330.0,294959035.0,85.16630959221328
48,WI,230897952,2817460.0,2817450.0,187686976.0,66.61566659331454
49,WV,78307908,720590.0,720590.0,38991666.0,54.11075091244675
50,WY,53044650,250280.0,250280.0,19542532.0,78.08267540354802
