,STATE,zipcode,N1,N02650,A02650,avg_income
0,AK,99501,7740.0,7740.0,581650.0,75.1485788113695
1,AK,99502,11690.0,11690.0,996844.0,85.2732249786142
2,AK,99503,7670.0,7670.0,444587.0,57.96440677966102
3,AK,99504,19120.0,19120.0,1120829.0,58.62076359832636
4,AK,99505,2290.0,2290.0,89034.0,38.87947598253275
5,AK,99506,2960.0,2960.0,117690.0,39.76013513513514
6,AK,99507,18480.0,18480.0,1479733.0,80.07213203463203
7,AK,99508,15260.0,15260.0,862362.0,56.51127129750983
8,AK,99515,10960.0,10960.0,991987.0,90.50976277372263
9,AK,99516,9630.0,9630.0,1439973.0,149.52990654205607
10,AK,99517,8060.0,8060.0,653138.0,81.03449131513648
11,AK,99518,5180.0,5180.0,342689.0,66.15617760617761
12,AK,99540,140.0,140.0,9070.0,64.78571428571429
13,AK,99556,1140.0,1140.0,65335.0,57.31140350877193
14,AK,99567,4200.0,4200.0,336137.0,80.03261904761905
15,AK,99568,150.0,150.0,8116.0,54.10666666666667
16,AK,99572,220.0,220.0,14408.0,65.49090909090908
17,AK,99573,430.0,430.0,21264.0,49.45116279069767
18,AK,99577,12820.0,12820.0,1148857.0,89.61443057722309
19,AK,99586,250.0,250.0,10694.0,42.776
20,AK,99588,640.0,640.0,38217.0,59.7140625
21,AK,99603,5510.0,5510.0,377364.0,68.48711433756806
22,AK,99610,1110.0,1110.0,72495.0,65.3108108108108
23,AK,99611,6340.0,6340.0,425569.0,67.12444794952681
24,AK,99615,6330.0,6330.0,414684.0,65.51090047393365
25,AK,99631,140.0,140.0,8172.0,58.371428571428574
26,AK,99639,570.0,570.0,32279.0,56.62982456140351
27,AK,99645,13070.0,13070.0,953916.0,72.98515684774293
28,AK,99654,14920.0,14920.0,1025732.0,68.74879356568364
29,AK,99664,2230.0,2230.0,138217.0,61.98071748878924
30,AK,99669,7640.0,7640.0,569928.0,74.5979057591623
31,AK,99672,1640.0,1640.0,118223.0,72.08719512195123
32,AK,99674,690.0,690.0,36769.0,53.28840579710145
33,AK,99676,980.0,980.0,55993.0,57.135714285714286
34,AK,99686,2010.0,2010.0,164182.0,81.68258706467661
35,AK,99688,1360.0,1360.0,78343.0,57.605147058823526
36,AK,99701,7990.0,7990.0,454670.0,56.90488110137672
37,AK,99702,1350.0,1350.0,57562.0,42.63851851851852
38,AK,99703,3640.0,3640.0,134841.0,37.04423076923077
39,AK,99705,8830.0,8830.0,584776.0,66.22604756511892
40,AK,99709,10750.0,10750.0,814926.0,75.80706976744186
41,AK,99712,4330.0,4330.0,346066.0,79.9228637413395
42,AK,99714,450.0,450.0,27908.0,62.01777777777778
43,AK,99737,1880.0,1880.0,122068.0,64.92978723404255
44,AK,99743,580.0,580.0,40302.0,69.48620689655172
45,AK,99760,350.0,350.0,18603.0,53.151428571428575
46,AK,99780,790.0,790.0,40807.0,51.654430379746834
47,AK,99801,11990.0,11990.0,896044.0,74.7326105087573
48,AK,99824,1150.0,1150.0,87361.0,75.96608695652174
49,AK,99827,1280.0,1280.0,79487.0,62.09921875
50,AK,99833,1710.0,1710.0,120822.0,70.6561403508772
51,AK,99835,4450.0,4450.0,324784.0,72.98516853932584
52,AK,99901,6340.0,6340.0,423083.0,66.73233438485805
53,AL,35004,5130.0,5130.0,292671.0,57.050877192982455
54,AL,35005,3170.0,3170.0,125810.0,39.68769716088328
55,AL,35006,1210.0,1210.0,59725.0,49.35950413223141
56,AL,35007,11930.0,11930.0,714402.0,59.88281642917016
57,AL,35010,7890.0,7890.0,391523.0,49.62268694550063
58,AL,35014,1610.0,1610.0,78033.0,48.46770186335404
59,AL,35016,7170.0,7170.0,371342.0,51.79107391910739
60,AL,35019,880.0,880.0,39817.0,45.24659090909091
61,AL,35020,8990.0,8990.0,250464.0,27.860289210233592
62,AL,35022,10200.0,10200.0,596045.0,58.43578431372549
63,AL,35023,10160.0,10160.0,488785.0,48.10875984251968
64,AL,35031,2910.0,2910.0,127087.0,43.672508591065295
65,AL,35033,1390.0,1390.0,80420.0,57.856115107913666
66,AL,35034,1360.0,1360.0,53227.0,39.1375
67,AL,35035,560.0,560.0,44468.0,79.40714285714286
68,AL,35040,7760.0,7760.0,415490.0,53.54252577319588
