,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,GEO_ID,NAME,S0201_154E,S0201_155E,S0201_156E,S0201_157E,S0201_158E,S0201_159E,S0201_160E,S0201_161E,S0201_162E,S0201_163E,S0201_164E,S0201_165E,S0201_166E,S0201_167E,state,county
1,0500000US41067,"Washington County, Oregon",477488,69.3,69.2,66.5,2.7,4,0,30.7,243298,61.9,61.9,59.2,2.7,4.4,41,067
2,0500000US41051,"Multnomah County, Oregon",674392,70.1,70,67.2,2.8,4,0,29.9,342301,66.5,66.5,63.6,2.9,4.3,41,051
3,0500000US27053,"Hennepin County, Minnesota",1011141,72.7,72.7,70,2.7,3.7,0,27.3,513883,69.1,69.1,66.7,2.4,3.5,27,053
4,0500000US27123,"Ramsey County, Minnesota",434529,68.1,68.1,65.4,2.7,4,0,31.9,225327,65.7,65.7,62.8,2.9,4.4,27,123
5,0500000US42017,"Bucks County, Pennsylvania",516676,68,68,65.3,2.7,4,0.1,32,265463,62.8,62.8,60,2.7,4.4,42,017
6,0500000US42091,"Montgomery County, Pennsylvania",670601,68.3,68.2,65.4,2.8,4.1,0.1,31.7,347831,63.8,63.8,61.4,2.3,3.7,42,091
7,0500000US42071,"Lancaster County, Pennsylvania",430023,65.6,65.6,63.2,2.4,3.7,0,34.4,222415,57.6,57.6,55.4,2.2,3.8,42,071
8,0500000US44007,"Providence County, Rhode Island",522947,63.4,63.4,59.7,3.7,5.8,0,36.6,270816,60,60,57.3,2.7,4.4,44,007
9,0500000US45045,"Greenville County, South Carolina",410763,65,65,62.4,2.5,3.9,0,35,213646,60.1,60,57.4,2.7,4.4,45,045
10,0500000US01073,"Jefferson County, Alabama",527740,60.7,60.6,56.6,4.1,6.7,0.1,39.3,283036,56.8,56.8,52.7,4.1,7.2,01,073
11,0500000US04019,"Pima County, Arizona",847376,57.6,56.8,53.6,3.2,5.7,0.8,42.4,435533,52.7,52.3,49.3,3,5.8,04,019
12,0500000US04013,"Maricopa County, Arizona",3478309,64.6,64.5,61.5,2.9,4.6,0.1,35.4,1774356,58.8,58.8,56,2.8,4.7,04,013
13,0500000US47157,"Shelby County, Tennessee",729488,64.2,64.1,59,5.1,7.9,0.1,35.8,389953,60.4,60.3,55,5.3,8.8,47,157
14,0500000US47037,"Davidson County, Tennessee",562526,71.9,71.8,69.3,2.5,3.5,0.1,28.1,294076,67,66.9,64.3,2.7,4,47,037
15,0500000US06013,"Contra Costa County, California",921374,65.8,65.8,62.7,3.1,4.6,0.1,34.2,475544,60.5,60.5,57.8,2.7,4.5,06,013
16,0500000US06001,"Alameda County, California",1361098,67.7,67.6,64.8,2.7,4,0.1,32.3,696577,61.7,61.7,59.2,2.5,4,06,001
17,0500000US06037,"Los Angeles County, California",8162030,65,64.9,61.3,3.6,5.6,0,35,4174560,58.6,58.6,55.2,3.4,5.8,06,037
18,0500000US06065,"Riverside County, California",1907979,60.2,60,56.1,3.9,6.5,0.2,39.8,964215,53.9,53.9,49.9,4,7.4,06,065
19,0500000US06099,"Stanislaus County, California",418513,60.1,60.1,54.8,5.3,8.8,0,39.9,213759,52.5,52.5,47.5,4.9,9.4,06,099
20,0500000US06097,"Sonoma County, California",413471,66,65.8,62.9,2.9,4.5,0.2,34,213374,61.5,61.4,59.3,2.1,3.4,06,097
21,0500000US06067,"Sacramento County, California",1215153,63.1,63,59.5,3.5,5.5,0.1,36.9,627704,58.2,58.2,55.2,3,5.2,06,067
22,0500000US06071,"San Bernardino County, California",1662442,61.7,61.1,56.9,4.1,6.7,0.6,38.3,842761,54.6,54.5,50.3,4.2,7.7,06,071
23,0500000US06085,"Santa Clara County, California",1560706,67.7,67.6,65,2.7,3.9,0,32.3,771385,60.6,60.6,58,2.6,4.3,06,085
24,0500000US06019,"Fresno County, California",741706,60.9,60.8,55.9,4.9,8.1,0.1,39.1,374824,55,55,50.4,4.5,8.3,06,019
25,0500000US06029,"Kern County, California",664871,57.8,57.6,52.4,5.1,8.9,0.2,42.2,322216,51.7,51.6,47.3,4.3,8.3,06,029
26,0500000US06059,"Orange County, California",2571255,65.5,65.4,62.8,2.7,4.1,0.1,34.5,1313715,58.8,58.8,56.4,2.4,4.1,06,059
27,0500000US06111,"Ventura County, California",679810,65,64.5,61.6,2.8,4.4,0.6,35,345080,59.2,59,56.5,2.6,4.3,06,111
28,0500000US06081,"San Mateo County, California",628294,69.2,69.2,66.5,2.7,3.8,0,30.8,318974,63.7,63.7,61.1,2.6,4,06,081
29,0500000US06077,"San Joaquin County, California",571146,60.9,60.8,57.1,3.7,6,0,39.1,288556,54,54,50.2,3.8,7.1,06,077
30,0500000US08031,"Denver County, Colorado",590285,73.7,73.5,70.9,2.6,3.6,0.2,26.3,295425,67.9,67.9,65.4,2.4,3.6,08,031
31,0500000US08059,"Jefferson County, Colorado",478957,69.7,69.7,67.5,2.2,3.1,0,30.3,242146,65.2,65.1,63.5,1.6,2.4,08,059
32,0500000US48029,"Bexar County, Texas",1534680,64.6,63.7,60.1,3.6,5.6,1,35.4,783159,58.9,58.3,54.9,3.4,5.8,48,029
33,0500000US08001,"Adams County, Colorado",392240,72.4,72.4,69.9,2.5,3.4,0.1,27.6,194262,65.8,65.8,63.5,2.3,3.5,08,001
34,0500000US08041,"El Paso County, Colorado",560356,68.8,63.8,60.4,3.4,5.3,5,31.2,277287,61.8,60.3,56.8,3.5,5.8,08,041
35,0500000US08005,"Arapahoe County, Colorado",516120,71.5,71.2,68.5,2.7,3.8,0.3,28.5,261852,65.8,65.8,63.5,2.3,3.4,08,005
36,0500000US06075,"San Francisco County, California",776750,71.8,71.7,69.1,2.6,3.7,0,28.2,380076,68.1,68,66,2.1,3.1,06,075
37,0500000US06073,"San Diego County, California",2695957,65.9,63,59.6,3.4,5.4,2.9,34.1,1344499,60,59.3,56.1,3.2,5.4,06,073
38,0500000US48121,"Denton County, Texas",673154,72.7,72.6,69.7,2.9,4,0,27.3,344945,66.3,66.3,63.7,2.6,3.9,48,121
39,0500000US48141,"El Paso County, Texas",639198,62.4,60.2,56.3,3.8,6.3,2.3,37.6,327339,55.1,54.6,51.1,3.5,6.5,48,141
40,0500000US48085,"Collin County, Texas",774988,70.6,70.5,68,2.5,3.6,0.1,29.4,397982,62.5,62.5,59.9,2.6,4.2,48,085
41,0500000US09001,"Fairfield County, Connecticut",758754,67.5,67.5,63.4,4.1,6.1,0,32.5,393265,61.3,61.2,57.4,3.8,6.2,09,001
42,0500000US09009,"New Haven County, Connecticut",705905,64.9,64.9,61.3,3.6,5.6,0,35.1,370403,61.5,61.4,58.3,3.1,5.1,09,009
