,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,GEO_ID,NAME,S0201_213E,S0201_214E,S0201_215E,S0201_216E,S0201_217E,S0201_218E,S0201_219E,S0201_220E,S0201_221E,S0201_222E,S0201_223E,S0201_224E,S0201_225E,S0201_226E,S0201_227E,S0201_228E,S0201_229E,S0201_230E,S0201_231E,S0201_232E,S0201_233E,S0201_234E,S0201_235E,S0201_236E,S0201_237E,S0201_238E,S0201_239E,S0201_240E,S0201_241E,S0201_294E,S0201_295E,S0201_296E,S0201_301E,S0201_302E,S0201_303E,state,county
1,0500000US41067,"Washington County, Oregon",225955,83068,84.3,103767,24.4,21390,2.1,9686,2.2,2914,15.2,26204,7.8,149665,100490,80.4,109802,6.1,87447,13.5,49493,597695,40152,137939,92375,81237,65519,62649,50504,101266,73.2,26.8,82995,53.8,46.2,41,067
2,0500000US41051,"Multnomah County, Oregon",330223,71186,80.3,98369,24.7,19123,4.4,9731,4.6,2683,14.6,30098,13.3,175694,91088,75.9,107946,7.4,57179,16.7,45027,811880,40365,175402,137600,76425,64682,55810,51655,125775,70.1,29.9,145618,50.9,49.1,41,051
3,0500000US27053,"Hennepin County, Minnesota",508964,76052,82.7,111927,23.8,20508,4.1,10826,3.8,2690,14.5,27482,7.3,292301,104086,77.6,124752,6.9,66030,15.5,43006,1259428,45487,280532,217504,92768,69574,62253,54438,219672,77.3,22.7,184533,53.7,46.3,27,053
4,0500000US27123,"Ramsey County, Minnesota",209287,62919,79.1,90274,29.6,20149,5,10555,4.5,2629,18.6,29736,11.3,118943,87154,71.5,103814,7.2,55191,21.4,43250,550210,35257,104808,89471,70749,62547,51266,46927,81073,77.9,22.1,81118,51,49,27,123
5,0500000US42017,"Bucks County, Pennsylvania",239962,88569,80.4,119430,34.5,22681,3.3,9649,1.7,2950,19.6,32087,6.1,171229,106262,80.1,120523,5.8,75242,14.1,60205,628195,45655,140846,103693,93362,65962,66949,51887,121443,71.7,28.3,54678,50.8,49.2,42,017
6,0500000US42091,"Montgomery County, Pennsylvania",313336,90122,82.3,126791,31.4,21994,3.2,10889,1.4,2891,18.9,28801,5.5,217738,111322,81.2,125682,5.5,76041,13.3,58696,828604,47780,175440,137005,104517,73513,70610,57335,149259,74.6,25.4,87998,55.7,44.3,42,091
7,0500000US42071,"Lancaster County, Pennsylvania",202490,66277,79.4,82765,34.3,21278,4.7,10126,2.2,2557,20.4,25843,8.6,140049,79376,81.6,88877,5.1,57751,13.3,39891,543557,32676,117265,72606,68277,50900,52239,40975,86093,75.3,24.7,62321,52.1,47.9,42,071
8,0500000US44007,"Providence County, Rhode Island",237038,56461,73.1,81497,31.6,17182,9.6,10417,7.1,3029,15.9,24173,20.7,138683,74420,64,92406,9.4,52249,26.7,37318,636084,29772,119296,91120,64099,53349,51452,42242,89497,66.1,33.9,101160,50.3,49.7,44,007
9,0500000US45045,"Greenville County, South Carolina",192556,61183,78.9,82355,31.8,21111,3.7,9367,0.9,2940,17.3,22960,7.6,124883,76300,76.4,87767,5.9,49010,17.6,35456,514213,31992,104387,77759,68092,52254,50640,40318,83211,77.7,22.3,57818,57.2,42.8,45,045
10,0500000US01073,"Jefferson County, Alabama",255940,55206,74.9,82214,34.3,19360,8.6,10649,1.3,2136,20,25074,13.2,159115,72335,67.6,93555,7.4,53167,24.9,35369,659300,31683,118113,104450,76321,51177,51930,41325,98754,75.8,24.2,85483,51.2,48.8,01,073
11,0500000US04019,"Pima County, Arizona",402323,53464,71.9,70701,37.2,20435,4.8,10893,1.6,2738,24.5,30908,12.5,246052,65641,70.9,80367,9.1,45650,20,34673,1039073,29410,179195,132622,61326,48834,44608,36816,149821,74.1,25.9,140858,52,48,04,019
12,0500000US04013,"Maricopa County, Arizona",1582464,65252,79.7,88858,30.1,20871,4,10178,1.6,2383,18,27528,8.6,1043279,76923,72.3,90956,9.1,56437,18.6,42082,4410824,33298,902878,661998,69681,55104,49770,41878,677003,73.9,26.1,562642,53.1,46.9,04,013
13,0500000US47157,"Shelby County, Tennessee",352648,47500,77.5,74092,28.6,17800,6.2,9527,1.1,2285,16.1,25519,16.3,214219,61915,60.9,87725,7.8,45319,31.3,32556,935764,28145,170124,151551,63927,49431,44118,39549,128179,72.1,27.9,145351,40.9,59.1,47,157
14,0500000US47037,"Davidson County, Tennessee",283445,60856,85.1,85742,23.9,19237,3.6,9476,1.3,2673,13.8,23945,9.9,159825,72743,68.1,92344,7.6,49020,24.3,35189,692587,36891,160198,133893,69219,53163,46729,40924,103508,73.2,26.8,124435,50.1,49.9,47,037
15,0500000US06013,"Contra Costa County, California",396133,101618,81.1,138596,29.4,21217,4.7,10717,2.2,4005,19.6,38728,5.9,285418,113973,75.8,136101,7.2,74476,17.1,51800,1150215,48968,222435,166995,112644,79598,80252,61969,194134,65.6,34.4,126503,46.2,53.8,06,013
16,0500000US06099,"Stanislaus County, California",175171,60321,78.9,80702,30.7,18331,7.7,11274,4.1,5352,16.8,24208,13.7,128261,65936,68.9,81027,9.7,44994,21.4,35728,549815,26191,96709,60779,64992,55755,51102,41513,68117,65.9,34.1,67309,47.6,52.4,06,099
17,0500000US06097,"Sonoma County, California",187434,81395,77.2,102923,36,20194,5.1,10264,1.8,5351,23.3,34134,4.6,118022,98849,76,114073,8.7,70819,15.3,55392,499942,41985,93175,68114,82875,61791,60551,51319,75708,63.1,36.9,69189,46.1,53.9,06,097
18,0500000US06001,"Alameda County, California",575410,102125,83.9,137745,23.8,18831,5.2,10611,4.3,4019,16.1,33781,6.4,381320,123476,76.6,145237,7.5,83270,15.9,62486,1666753,48595,372121,269537,101474,80895,76884,64506,224302,67.4,32.6,255026,51.1,48.9,06,001
19,0500000US06067,"Sacramento County, California",543560,69767,78.7,90253,28.2,18273,7.5,10304,3.8,5008,20.2,36985,10.6,359266,81058,70.1,97342,8.4,60481,21.6,48855,1540975,32748,287255,224810,72696,58241,53741,49688,223298,67.5,32.5,220747,45.5,54.5,06,067
20,0500000US06075,"San Francisco County, California",362827,112376,81,175009,23.6,18545,6.5,9620,2.5,4354,12.2,37843,4.6,178643,131253,77,164073,8.2,74741,14.8,80701,883305,71606,217291,172957,133256,101373,100057,80879,86550,64.4,35.6,218828,64.8,35.2,06,075
21,0500000US06073,"San Diego County, California",1130911,79079,81.9,103702,26.8,19255,5,10096,2.4,4149,18.3,33980,7.3,761247,90981,73.8,108144,8.3,61837,17.9,46928,3343364,37841,701025,472056,77850,63540,55646,48698,424451,60.8,39.2,510213,42.2,57.8,06,073
22,0500000US06037,"Los Angeles County, California",3313908,68093,82.8,99981,25.2,17850,6.9,9890,3.2,4489,11.6,33920,8.3,2193349,76551,67.3,94086,10.4,58083,22.3,47213,10105518,34115,2034849,1442542,73607,60339,48531,44280,1053837,56.1,43.9,1726524,42.9,57.1,06,037
23,0500000US06065,"Riverside County, California",728103,66964,77.6,89642,32.2,19202,5.6,10090,3.1,4446,17.4,32454,8.2,524194,76938,74.4,88794,8.3,61491,17.3,43122,2450758,28961,454370,291002,65932,55066,50573,40944,342672,59.3,40.7,219257,39,61,06,065
24,0500000US06071,"San Bernardino County, California",638647,63857,80.5,84236,27.2,17509,7.1,10183,3.9,4750,15.8,31186,12.7,486914,70981,69.3,83576,9.6,51941,21.1,42561,2171603,25486,414978,263075,60387,50594,47194,40890,274558,62.9,37.1,242111,42.4,57.6,06,071
25,0500000US06085,"Santa Clara County, California",645108,126606,85.3,173876,23.1,21274,5.2,10273,1.5,5004,13.6,36439,4.1,461799,144690,79.8,165859,6.6,81765,13.6,71752,1937570,58588,450349,294556,129808,92611,95797,67330,249076,66.8,33.2,275644,53.8,46.2,06,085
26,0500000US06019,"Fresno County, California",309519,52629,78.9,73144,26.7,17373,8.2,9471,7.2,3914,16.4,28569,17.9,220824,60114,65,76579,10,45204,25.1,33801,994400,23834,157228,110165,57484,51904,45075,39692,109903,68.4,31.6,140332,44.5,55.5,06,019
