,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,GEO_ID,NAME,S0201_194E,S0201_195E,S0201_196E,S0201_197E,S0201_198E,S0201_199E,S0201_200E,S0201_201E,S0201_202E,S0201_203E,S0201_204E,S0201_205E,S0201_206E,S0201_207E,state,county
1,0500000US41067,"Washington County, Oregon",317538,1.5,6.6,16.4,3.2,11,4.4,1.8,6.5,13.8,19.9,7.9,3.9,3.1,41,067
2,0500000US41051,"Multnomah County, Oregon",453165,0.7,5.4,10.1,3,10.3,5,2.1,6.1,15.3,22.5,11.2,4.9,3.6,41,051
3,0500000US27053,"Hennepin County, Minnesota",707713,0.4,3.2,11.7,3,11.4,3.7,2.1,10,15,23.9,9,4.3,2.3,27,053
4,0500000US27123,"Ramsey County, Minnesota",284189,0.5,4,11.7,2.2,9.8,5.1,1.9,7,11.1,28.2,9.5,5,4.1,27,123
5,0500000US42017,"Bucks County, Pennsylvania",337276,0.4,6.9,11.4,3.3,11.6,4.3,1.8,7.4,14.1,24,7.6,3.9,3.3,42,017
6,0500000US42091,"Montgomery County, Pennsylvania",438881,0.3,4.9,11.6,2.5,10.9,3.4,2,10.3,14.6,25.4,7.1,4.1,2.9,42,091
7,0500000US42071,"Lancaster County, Pennsylvania",271712,2.9,8.7,15.6,2.6,11.3,5.4,1.6,5.1,8.1,22.1,8.7,5.1,2.7,42,071
8,0500000US44007,"Providence County, Rhode Island",312002,0.4,5.4,11.9,2.3,12.9,4.6,1.3,6.9,9.9,26.2,10.3,4.5,3.5,44,007
9,0500000US45045,"Greenville County, South Carolina",256432,0.5,6.7,16.9,3.6,10.3,3.3,1.2,6,12.8,20.8,9.9,5.1,3,45,045
10,0500000US01073,"Jefferson County, Alabama",298525,0.6,5.6,9.5,3.1,11,5.9,1.8,8.8,11.9,24.2,8.8,4.9,4,01,073
11,0500000US04019,"Pima County, Arizona",454426,1,6.7,6.7,2,11.5,4.3,2,5.7,12.4,24.6,12.1,5.4,5.8,04,019
12,0500000US04013,"Maricopa County, Arizona",2139992,0.6,6.8,7.3,2.4,11.5,5.8,2.2,10,13.9,20.4,10.7,4.8,3.8,04,013
13,0500000US47157,"Shelby County, Tennessee",430511,0.2,5,8.7,2.9,10.5,14.3,0.8,5.1,11.3,21.6,9.6,4.8,5.1,47,157
14,0500000US47037,"Davidson County, Tennessee",389697,0.2,6.1,7.8,2.3,10.9,4.1,2.9,7,13.7,23.6,12.5,5.3,3.8,47,037
15,0500000US06013,"Contra Costa County, California",577749,0.5,7.8,5.9,2.1,9.8,5.9,2.6,7.7,15.9,23.6,8.5,5.7,3.9,06,013
16,0500000US06001,"Alameda County, California",882648,0.5,5.3,9.7,2.1,8.6,5.1,3.7,6.3,20.4,21.8,8.2,4.9,3.3,06,001
17,0500000US06075,"San Francisco County, California",536653,0.1,3.3,5.3,1.7,9.3,4.5,6,8.3,25.2,18,10.6,4.6,3.2,06,075
18,0500000US06037,"Los Angeles County, California",5001369,0.4,6.2,9.1,3.2,10.1,6.4,4.3,5.9,12.8,20.6,11.7,6,3.2,06,037
19,0500000US06071,"San Bernardino County, California",946515,0.6,8.3,8.1,3.4,12.4,10.9,1.2,4.6,9,21.6,9.5,4.9,5.5,06,071
20,0500000US06099,"Stanislaus County, California",229483,4.4,8.4,11.9,3.5,11.5,7.1,1.1,4.2,9.2,21.2,8.3,4.6,4.6,06,099
21,0500000US06097,"Sonoma County, California",259984,2.6,9.4,8.9,2.5,11.8,3.1,1.9,5.3,12,20.7,9.9,7.3,4.5,06,097
22,0500000US06067,"Sacramento County, California",723076,0.9,6.8,5.2,2.3,11.2,5.8,1.4,6.5,11.8,22.3,10,5.4,10.5,06,067
23,0500000US06073,"San Diego County, California",1606430,0.7,6.4,9.1,2.1,10.3,4.5,1.9,5.9,15.4,21.1,12.2,5.4,4.9,06,073
24,0500000US06065,"Riverside County, California",1069565,1.3,9.1,8.3,2.7,12.8,6.9,1.5,4.8,10.7,20.4,12,5,4.6,06,065
25,0500000US06085,"Santa Clara County, California",1014217,0.5,5.2,16.1,2.1,8.2,3.2,5.5,4.2,21.2,19.8,7.8,4,2.2,06,085
