,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,GEO_ID,NAME,S0201_006E,S0201_007E,S0201_008E,S0201_009E,S0201_010E,S0201_011E,S0201_012E,S0201_013E,S0201_014E,S0201_015E,S0201_016E,S0201_017E,S0201_018E,S0201_019E,S0201_020E,S0201_021E,S0201_022E,S0201_023E,S0201_024E,S0201_025E,S0201_026E,S0201_027E,S0201_028E,S0201_029E,S0201_030E,S0201_031E,S0201_032E,S0201_033E,S0201_034E,S0201_035E,S0201_036E,S0201_037E,state,county
1,0500000US41067,"Washington County, Oregon",597695,49.6,50.4,6,16.9,8.2,15.8,14.8,13.3,11.5,8.2,5.2,36.9,77.1,74.3,16.9,13.4,136616,51.2,48.8,461079,49.1,50.9,143745,51.1,48.9,236957,49.6,50.4,80377,43.9,56.1,41,067
2,0500000US41051,"Multnomah County, Oregon",811880,49.6,50.4,5.5,13.3,7.8,18.8,16.5,13.1,11.5,8.4,5,37.6,81.2,78.1,16.6,13.4,152900,51.6,48.4,658980,49.1,50.9,216268,49.8,50.2,333850,50.4,49.6,108862,44.1,55.9,41,051
3,0500000US27053,"Hennepin County, Minnesota",1259428,49.5,50.5,6.5,15.5,8.5,17,13.7,12.2,12.6,8.2,5.8,36.5,78,74.5,17.5,14,276542,50.8,49.2,982886,49.1,50.9,321067,50.8,49.2,484959,49.9,50.1,176860,44,56,27,053
4,0500000US27123,"Ramsey County, Minnesota",550210,48.8,51.2,6.9,16.4,9.8,16.7,12.5,11.1,12.2,8.4,6.1,35.1,76.7,72.7,17.8,14.4,128233,51.3,48.7,421977,48.1,51.9,145838,49.4,50.6,196719,49.2,50.8,79420,42.9,57.1,27,123
5,0500000US42017,"Bucks County, Pennsylvania",628195,49,51,4.9,15.5,8,11,11.8,14.3,15.9,10.6,8,44,79.6,76.4,22.9,18.6,128214,51,49,499981,48.5,51.5,119302,50.9,49.1,263619,49.2,50.8,117060,44.7,55.3,42,017
6,0500000US42091,"Montgomery County, Pennsylvania",828604,48.7,51.3,5.5,16,8,12.5,12.5,13.6,14.1,9.7,8,41.2,78.5,75.2,21.8,17.8,178132,51.1,48.9,650472,48,52,170205,50.4,49.6,333110,49,51,147157,43.1,56.9,42,091
7,0500000US42071,"Lancaster County, Pennsylvania",543557,48.9,51.1,6.5,17,9,13,11.3,12.1,12.9,9.8,8.4,38.7,76.5,72.2,22,18.2,127711,51,49,415846,48.2,51.8,119777,50,50,197318,49.1,50.9,98751,44.3,55.7,42,071
8,0500000US44007,"Providence County, Rhode Island",636084,48.7,51.3,5.7,14.7,10.7,15.3,12.4,12.8,13,8.5,6.8,37.4,79.6,74.8,18.8,15.3,129957,51.1,48.9,506127,48.1,51.9,165777,50.2,49.8,242967,48.8,51.2,97383,42.7,57.3,44,007
9,0500000US45045,"Greenville County, South Carolina",514213,48.7,51.3,6.1,16.8,8.9,13.9,12.7,13.1,12.7,9.4,6.3,38.4,77,73.3,19.2,15.7,118030,51.5,48.5,396183,47.8,52.2,117131,49.6,50.4,198065,48.4,51.6,80987,43.9,56.1,45,045
10,0500000US47157,"Shelby County, Tennessee",935764,47.6,52.4,6.9,18,9.2,14.8,12.5,12.4,12.5,8.4,5.2,36,75.1,71.3,17.7,13.6,233189,50.7,49.3,702575,46.5,53.5,224996,48.8,51.2,350543,46.8,53.2,127036,41.7,58.3,47,157
11,0500000US47037,"Davidson County, Tennessee",692587,48.3,51.7,6.6,14.2,9.8,20.2,13.8,11.7,11.6,7.4,4.8,34.5,79.3,75.5,15.3,12.2,143599,50.6,49.4,548988,47.7,52.3,207845,48.4,51.6,256693,48.9,51.1,84450,42.1,57.9,47,037
12,0500000US06013,"Contra Costa County, California",1150215,48.9,51.1,5.6,17,8.1,12.8,13.5,14.1,13.2,9.2,6.5,40,77.4,74.1,19.4,15.8,259788,51.2,48.8,890427,48.3,51.7,240548,50.7,49.3,468612,48.7,51.3,181267,43.9,56.1,06,013
13,0500000US06001,"Alameda County, California",1666753,49.2,50.8,5.8,14.7,8.3,16.7,15.1,13.3,12.2,8.2,5.6,37.6,79.5,76,17.2,13.8,342511,51.2,48.8,1324242,48.7,51.3,416973,50.2,49.8,676759,49.4,50.6,230510,43.9,56.1,06,001
14,0500000US01073,"Jefferson County, Alabama",659300,47.3,52.7,6.3,16.4,8.8,14.5,12.8,12.2,13.2,9.4,6.5,38.2,77.3,73.4,20,15.9,149547,51.1,48.9,509753,46.3,53.7,153544,48.4,51.6,251509,46.9,53.1,104700,41.6,58.4,01,073
15,0500000US04019,"Pima County, Arizona",1039073,49.1,50.9,5.6,15.2,11.8,12.8,11.4,10.9,12.4,11.3,8.5,39,79.2,74.4,23.5,19.8,216294,50.8,49.2,822779,48.7,51.3,255708,51.4,48.6,361524,48.6,51.4,205547,45.3,54.7,04,019
16,0500000US04013,"Maricopa County, Arizona",4410824,49.5,50.5,6.3,17.5,9.3,14.6,13,12.5,11.6,8.8,6.4,36.6,76.1,72.2,18.5,15.2,1052785,51.1,48.9,3358039,49,51,1051963,51.1,48.9,1636877,49.2,50.8,669199,45.1,54.9,04,013
17,0500000US06037,"Los Angeles County, California",10105518,49.3,50.7,6,15.7,9.5,16.2,13.7,13.3,12,7.8,5.8,36.7,78.3,74.4,16.8,13.6,2188893,51.2,48.8,7916625,48.8,51.2,2599487,50.8,49.2,3941179,49.3,50.7,1375959,43.3,56.7,06,037
18,0500000US06059,"Orange County, California",3185968,49.4,50.6,5.9,16.1,9.2,14.4,13,14,12.7,8.4,6.4,38.3,78.1,74.1,17.9,14.8,698786,51.2,48.8,2487182,48.9,51.1,752434,51.1,48.9,1263522,49.2,50.8,471226,44.4,55.6,06,059
19,0500000US48029,"Bexar County, Texas",1986049,49.4,50.6,7.2,18.4,10.4,15.9,13.5,11.9,10.6,7.3,4.9,33.8,74.4,69.9,15,12.1,508269,50.8,49.2,1477780,48.9,51.1,522284,51.5,48.5,715044,48.8,51.2,240452,43.4,56.6,48,029
20,0500000US06065,"Riverside County, California",2450758,49.8,50.2,6.5,18.7,9.7,14,12.8,12.5,11.5,8.2,6.2,35.8,74.9,70.6,17.6,14.4,616127,51.1,48.9,1834631,49.4,50.6,580206,51.3,48.7,901400,49.7,50.3,353025,45.7,54.3,06,065
21,0500000US06067,"Sacramento County, California",1540975,48.9,51.1,6.4,17.2,8.6,15.7,13.4,12.5,12.2,8.3,5.8,36.4,76.4,73,17.7,14.1,363911,50.9,49.1,1177064,48.2,51.8,373213,50.4,49.6,586407,48.7,51.3,217444,43.2,56.8,06,067
22,0500000US06071,"San Bernardino County, California",2171603,49.8,50.2,7.1,19.2,10.4,15.3,13,12.2,11.3,7.1,4.5,33.6,73.6,69.4,14.5,11.6,572279,51.2,48.8,1599324,49.3,50.7,556508,51.6,48.4,791648,49.1,50.9,251168,45,55,06,071
23,0500000US06099,"Stanislaus County, California",549815,49.5,50.5,7,20.1,9.5,14.2,13.1,11.7,11.2,7.8,5.3,34.5,72.9,68.7,16.3,13.2,148801,51.1,48.9,401014,49,51,130378,51.2,48.8,198129,49.3,50.7,72507,44.1,55.9,06,099
24,0500000US06097,"Sonoma County, California",499942,48.8,51.2,4.9,14.7,8.2,12.5,12.7,12.8,14.5,12,7.6,42.4,80.3,76.5,23.7,19.6,98257,50.9,49.1,401685,48.3,51.7,103355,51.4,48.6,200300,48.6,51.4,98030,44.4,55.6,06,097
25,0500000US06075,"San Francisco County, California",883305,51.1,48.9,4.5,9,7,23.5,15.8,13,11.5,8.7,7,38.3,86.6,84.2,18.9,15.6,118684,51.2,48.8,764621,51,49,269835,51.2,48.8,356658,53.1,46.9,138128,45.3,54.7,06,075
26,0500000US06073,"San Diego County, California",3343364,50.3,49.7,6.2,15.4,10.3,16.5,13.4,12.4,11.8,8.1,5.9,36.1,78.4,74.2,17.4,14.1,722408,51.2,48.8,2620956,50.1,49.9,894364,53.4,46.6,1256771,49.9,50.1,469821,44.5,55.5,06,073
27,0500000US06085,"Santa Clara County, California",1937570,50.7,49.3,5.9,15.9,8.5,16.2,14.4,13.8,11.8,7.5,6,37.2,78.1,74.7,16.8,13.5,423735,51.3,48.7,1513835,50.5,49.5,477790,53.4,46.6,774793,50.8,49.2,261252,44.5,55.5,06,085
28,0500000US06081,"San Mateo County, California",769545,49.6,50.4,5.6,15,7.2,14.9,14.4,13.8,12.9,9.1,7,39.9,79.4,76.5,19.8,16.1,158477,51.6,48.4,611068,49.1,50.9,170280,51.7,48.3,316750,49.7,50.3,124038,43.8,56.2,06,081
29,0500000US06077,"San Joaquin County, California",752660,49.8,50.2,7,20.1,9.7,14,13,12.3,11.2,7.5,5.2,34.5,72.9,68.4,16.2,12.7,204316,51.2,48.8,548344,49.2,50.8,178377,51.3,48.7,274123,49.6,50.4,95844,44.2,55.8,06,077
30,0500000US06019,"Fresno County, California",994400,49.9,50.1,7.8,20.6,9.8,15.4,12.8,11,10.5,7.1,5.1,32.5,71.7,67.4,14.9,12.2,281820,51,49,712580,49.4,50.6,250694,51.1,48.9,340346,49.9,50.1,121540,44.7,55.3,06,019
31,0500000US06029,"Kern County, California",896764,51.3,48.7,7.8,21.1,10.1,15.6,12.8,11.2,10.5,6.6,4.3,32,71.1,67,14,10.9,258952,50.8,49.2,637812,51.4,48.6,230263,53.7,46.3,309473,51.3,48.7,98076,46.4,53.6,06,029
32,0500000US06111,"Ventura County, California",850967,49.5,50.5,5.8,17,9.4,13.4,12.5,13.1,13.2,8.9,6.6,38.4,77.1,73,18.9,15.5,194458,50.8,49.2,656509,49.1,50.9,193929,51.6,48.4,330361,49.4,50.6,132219,44.6,55.4,06,111
33,0500000US08001,"Adams County, Colorado",511868,50.5,49.5,7.1,19.5,8.8,16.4,14.7,12.3,10.9,6.5,3.9,34,73.5,69.8,13.2,10.4,135775,51,49,376093,50.3,49.7,128560,51.7,48.3,194424,51,49,53109,44.4,55.6,08,001
34,0500000US08031,"Denver County, Colorado",716492,50.1,49.9,6,13.5,8,23.3,16,11.6,9.9,7.2,4.5,34.6,80.5,77.3,14.5,11.7,139699,50.5,49.5,576793,50,50,224474,50.5,49.5,268323,51.5,48.5,83996,43.8,56.2,08,031
35,0500000US08005,"Arapahoe County, Colorado",651215,49.6,50.4,6.1,17.3,8.2,15.7,14.3,13.1,12.2,8.3,4.8,36.9,76.6,73.4,16.5,13.1,152661,51.2,48.8,498554,49.1,50.9,155797,51.5,48.5,257748,49.4,50.6,85009,44.2,55.8,08,005
36,0500000US08059,"Jefferson County, Colorado",580233,49.7,50.3,5.2,14.5,7.8,14.8,13.8,13,14.4,10.1,6.4,40.3,80.3,77.1,20.4,16.5,114518,50.9,49.1,465715,49.5,50.5,131096,52.6,47.4,239100,49.6,50.4,95519,45,55,08,059
37,0500000US08041,"El Paso County, Colorado",713856,50.5,49.5,6.8,17.3,10.9,16.1,12.7,11.8,11.7,8,4.8,34.3,75.9,71.7,16,12.8,172062,51,49,541794,50.4,49.6,192434,54.3,45.7,257963,49.5,50.5,91397,44.9,55.1,08,041
38,0500000US48121,"Denton County, Texas",859064,49.2,50.8,6.3,18.4,9.2,14.8,15.4,14.5,11.3,6.5,3.6,35.8,75.3,70.9,12.9,10.1,211996,51.1,48.9,647068,48.6,51.4,206710,49.5,50.5,353220,49.1,50.9,87138,44.7,55.3,48,121
39,0500000US48141,"El Paso County, Texas",840758,49.4,50.6,7.5,19.6,11.3,15,12.4,11.5,10.4,7,5.3,32.5,72.9,68.1,15.3,12.3,228101,51,49,612657,48.8,51.2,221207,52.9,47.1,288396,47.7,52.3,103054,42.6,57.4,48,141
40,0500000US48085,"Collin County, Texas",1005146,49.2,50.8,6.2,19.7,8.2,12.8,15.9,15,11.2,7,4,37.2,74.1,70.5,14,11,260477,51,49,744669,48.6,51.4,210668,49.9,50.1,423556,49.2,50.8,110445,43.8,56.2,48,085
41,0500000US48113,"Dallas County, Texas",2637772,49.4,50.6,7.5,18.7,9.6,16.5,13.8,12.4,10.9,6.6,4.2,33.5,73.9,70.1,13.6,10.7,689655,51,49,1948117,48.8,51.2,687617,50.3,49.7,977318,49.3,50.7,283182,43.1,56.9,48,113
42,0500000US09009,"New Haven County, Connecticut",857620,48.1,51.9,5.1,15.1,10,13.4,11.7,13.4,14,9.7,7.7,40.5,79.8,75,21.3,17.3,173312,51.1,48.9,684308,47.4,52.6,200459,50.1,49.9,335060,47.9,52.1,148789,42.7,57.3,09,009
43,0500000US09003,"Hartford County, Connecticut",892697,48.7,51.3,5.3,15.6,9.1,13.2,12.3,13.4,13.9,9.5,7.6,40.3,79,75,21,17.1,187303,51,49,705394,48,52,199066,51.4,48.6,353654,48.5,51.5,152674,42.7,57.3,09,003
44,0500000US09001,"Fairfield County, Connecticut",943823,48.7,51.3,5.5,17,9.1,11.4,12.4,14.6,14.1,8.7,7.2,40.8,77.5,73.7,19.9,15.9,211990,51,49,731833,48,52,193649,50.7,49.3,388360,48.5,51.5,149824,43.4,56.6,09,001
45,0500000US48215,"Hidalgo County, Texas",865939,49.1,50.9,8.9,23.6,11,13.5,12.6,11,8.3,6.2,4.9,29.5,67.5,62.6,13.5,11.1,281292,51.2,48.8,584647,48.1,51.9,212065,50.5,49.5,276567,47.7,52.3,96015,44,56,48,215
46,0500000US48339,"Montgomery County, Texas",590925,49.8,50.2,6.8,19.5,8.2,12.7,13.8,13.5,12.2,8.3,4.9,37.5,73.6,70.1,16.1,13.3,155734,52,48,435191,49.1,50.9,123568,51,49,233209,49.5,50.5,78414,44.8,55.2,48,339
47,0500000US48453,"Travis County, Texas",1248743,50.5,49.5,6.3,15.4,9.2,20.1,16,12.8,10.5,6.4,3.5,34.5,78.3,74.6,12.6,9.9,270535,50.9,49.1,978208,50.4,49.6,365047,51.6,48.4,489727,50.8,49.2,123434,45.3,54.7,48,453
